,institute,citation_count,article_count
711,School of Cognitive and Computing Science,3,1
712,ChipSoft B.V.,3,1
713,eHealthLAB,3,2
714,Section for Medical Informatics in Anesthesiology,3,1
715,"Bnai Zion Medical Center, Technion",3,1
716,Medical School,3,2
717,Booz Allen Hamilton,3,1
718,Faculté de Médecine,3,2
719,SMITH Consortium,3,1
720,Royal Brompton & Harefield NHS Trust,3,2
721,Rudjer Boskovic Institute,3,1
722,HL7 Argentina,3,2
723,Royal College of Surgeons,3,1
724,HL7,3,3
725,Research Institute Hospital 12 de Octubre,3,3
726,Centre Eugène Marquis,3,1
727,Hospital de Jerez de la Frontera,3,1
728,Coordination Centre for Clinical Trials,3,1
729,Royal Brompton Hospital,3,1
730,Research Institute for Health and Society,3,1
731,Center of Human Factors Engineering of Health Information Technology HITlab,3,1
732,University Hospital Erlangen,3,4
733,Hospital de Clínicas,3,1
734,Rijeka University School of Medicine,3,2
735,Society for Medical Informatics of Bosnia and Herzegovina,3,1
736,LAAS-CNRS,3,1
737,Croatian Society for Medical Informatics,3,1
738,Custodix N.V.,3,1
739,Custodix NV,3,1
740,DDNT,3,1
741,Royal Surrey NHS Foundation Trust,3,3
742,INSERM CIC-IT 1403,3,4
743,Institute of Digital Healthcare,3,3
744,Kos Genetic srl,3,1
745,University Medical Centre Ljubljana,3,1
746,Hochschule Niederrhein - University of Applied Sciences,3,2
747,University West,3,1
748,Fraunhofer Institute for Applied Information Technology,3,2
749,Knowledge Engineering and Machine Learning Group,3,1
750,Hospital do Salnés de Villagarcia,3,1
751,Montpellier Research in Management,3,3
752,South-East European Research Centre (SEERC),3,1
753,Institut für Medizinische Statistik und Epidemiologie,3,4
754,C. Besta Neurological Institute,3,1
755,"INSERM, UMR S_1142, LIMICS",3,2
756,Spaarne Hospital,3,1
757,Faculty of Life Sciences and Medicine,3,1
758,Mälardalen University,3,2
759,HL7 Austria,3,1
760,Rikshospitalet-Radiumhospitalet Medical Center,3,1
761,Medical University Innsbruck,2,3
762,Hospital Universitario Virgen del Rocío,2,1
763,Beijing Anzhen Hospital,2,1
764,BMD Software,2,5
765,Medical Center,2,4
766,University of Augsburg,2,5
767,Medical School Hanover,2,2
768,BIREME/PAHO/WHO,2,1
769,Institut für Didaktik und Ausbildungsforschung in der Medizin,2,1
770,McGill University Health Centre,2,1
771,University of Athens,2,3
772,Institut für Medizinische Informatik und Biometrie,2,6
773,Hospital of the Ludwig-Maximilians-University,2,3
774,University Medical Centre,2,4
775,University for Health Informatics and Technology Tyrol (UMIT),2,1
776,Medical Informatics UMCN,2,1
777,Hospital del Mar Medical Research Institute,2,2
778,Instituto ITACA,2,2
779,Medical Informatics Unit,2,2
780,Hospital Virgen del Rocio,2,1
781,Mater Hospital,2,1
782,"Institut für Medizinische Informationsverarbeitung, Biometrie und Epidemiologie",2,1
783,University of Ha'il,2,1
784,Foundation for Research and Technology-Hellas (FORTH),2,1
785,Masaryk University,2,2
786,Medical Informatics Laboratory and Data Integration Center,2,1
787,Biodonostia,2,1
788,Friedrich-Alexander-Universität Erlangen-Nürnberg,2,3
789,University hospital rechts der Isar,2,2
790,"GECKO Institute for Medicine, Informatics and Economics",2,1
791,"Hospital São Francisco Xavier, Centro Hospitalar Lisboa Ocidental",2,1
792,School of Information Science,2,1
793,University of Piraeus,2,3
794,Kaunas University of Technology,2,2
795,Health Care Windesheim,2,1
796,King's College London,2,1
797,International Council of Nurses,2,3
798,Hasso Plattner Institute,2,4
799,Harvard Medical School,2,3
800,Klinikum Osnabrück,2,1
801,Weill Medical College,2,1
802,Walter Cantidio University Hospital,2,1
803,International Center for Health Information and Technology,2,1
804,WOWExp Technologies,2,1
805,Korea Advanced Institute of Science and Technology,2,1
806,Korea Institute of Science and Technology,2,1
807,Hewlett-Packard,2,1
808,Heymans Institute of Pharmacology,2,1
809,Kyoto University Hospital,2,9
810,Kyushu University Hospital,2,2
811,Interdisciplinary Centre for Public Health,2,1
812,Interdisciplinary Center for Clinical Research,2,3
813,Agfa HealthCare GmbH,2,1
814,Kennedy & Company,2,2
815,Windesheim University of Applied Sciences,2,1
816,BIOMERIS s.r.l.,2,1
817,Aarhus University Hospital,2,2
818,Örebro University Hospital,2,1
819,Heidelberg Institute for Theoretical Studies,2,1
820,HealthySystems,2,2
821,sepp.med GmbH,2,1
822,Hellenic Open University,2,1
823,iHealthLabs Europe SAS,2,1
824,Jena University Hospital,2,3
825,Health and Biomedical Informatics Centre,2,2
826,Joanneum Research Forschungsgesellschaft mbH,2,1
827,eHealth Services Research Group (eHSRG),2,1
828,"e-Learning Lab, Danish Centre of Health Informatics",2,1
829,Health Management,2,1
830,Justus-Liebig-University of Giessen School of Medicine,2,1
831,KEMLG research group,2,1
832,APHP - Necker Enfants Malades Hospital,2,6
833,Kap Code,2,2
834,Yangpu Kongjiang Hospital,2,1
835,Xin Hua Hospital,2,1
836,Aachen University of Technology (RWTH),2,1
837,HELIOS S. Josefs Hospital,2,1
838,"HEGP, AP-HP",2,1
839,LIFEN,2,1
840,HEC Management School,2,1
841,Aristotle University of Thessaloniki,2,7
842,Armasuisse,2,1
843,Leeds Institute of Cardiovascular and Metabolic Medicine,2,1
844,Leeds Institute of Health Sciences,2,2
845,Leibniz Institute for Prevention Research and Epidemiology - BIPS,2,2
846,Université de Rennes I,2,1
847,Assistance Publique - Hôpitaux de Paris & INSERM,2,1
848,Liguria Region,2,1
849,Université Paris-Est Créteil,2,1
850,Universitätsklinikum Schleswig-Holstein,2,1
851,Australian Institute of Health Service Management,2,1
852,Instituto Tecnológico de Buenos Aires,2,2
853,ISARIC Global Support Centre,2,1
854,Galliera Hospital,2,1
855,University of Thessaloniki,2,1
856,Lübeck Institute of Experimental Dermatology,2,2
857,MEDIQ - Medical Informatics and Quality Development,2,1
858,BIOCOM,2,1
859,GROW School for Oncology and Developmental Biology,2,2
860,Landesinstitut für Integrierte Versorgung - LIV Tirol,2,2
861,Instituto de Investigación Biomédica de A Coruña,2,2
862,Urmia University of Medical Sciences,2,1
863,Laboratoire SPI-EAO,2,1
864,IWK Health Centre,2,3
865,LIMSI,2,2
866,"Inserm, Inra",2,1
867,Akdeniz University,2,3
868,LORIA,2,1
869,Institut Universitaire de Cancérologie,2,1
870,Lab of Medical Physics,2,1
871,Laboratoire PSI,2,1
872,Hospital Alemán,2,1
873,Aretaieio Hospital,2,1
874,Vicomtech,2,1
875,Institute of Radiology,2,2
876,VariMed,2,1
877,Instituto de Investigación Sanitaria Hospital 12 de Octubre,2,1
878,Vanderbilt University Medical Center,2,3
879,Amsterdam Public Health Research Institute,2,3
880,Laboratoire d'Informatique Médicale et Bioinformatique,2,2
881,Application Nucleus of Information Technology,2,1
882,University Hospital of Saint Étienne,2,1
883,Universidad de Murcia,2,3
884,Fondazione IRCCS S. Maugeri,2,1
885,Pyxima,2,1
886,Swedish Institute for Disability Research,2,1
887,"INSERM U1142, LIMICS",2,1
888,St. Johns Ambulance Service,2,1
889,Rambam Medical Center,2,1
890,Center for Mind/Brain Sciences (CIMeC),2,1
891,IBM T. J. Watson Research Center,2,2
892,Research Association Public Health Saxony,2,1
893,Research Institute of the Finnish Economy,2,1
894,Research on Health University Department,2,1
895,Software Research & Development & Consultancy Corp.,2,1
896,Ritsumeikan University,2,1
897,Czech Technical University in Prague,2,1
898,Software Institute,2,1
899,Slovene Federation of Pensioners' Associations,2,1
900,Core Unit for Medical Statistics and Informatics,2,4
901,Rouen University Hospital & Medical School,2,1
902,Consiglio Nazionale delle Ricerche (CNR),2,1
903,Skövde University,2,1
904,Institute for Medical Microbiology,2,1
905,S3 Group,2,1
906,Computer Technology Institute,2,2
907,Center for Health Technologies,2,1
908,Public Research Center Henri Tudor,2,1
909,Computer Science and Digital Society Laboratory (LIST3N),2,1
910,Institute of Future Environment,2,1
911,CSEM,2,2
912,Division of Medical Information Sciences,2,4
913,Oy Apotti Ab,2,2
914,"PRB2-ProteoRed/ISCIII, CIBER-BBN",2,1
915,Direction de la Recherche Clinique et de l'Innovation,2,1
916,Ted Rogers School of Management,2,3
917,Cancer Center Heilbronn-Franken,2,1
918,CancerCare Manitoba,2,1
919,Technical Information Management Systems,2,1
920,Tarbiat Modares University,2,1
921,Tallinn University of Technology,2,2
922,Dept. of Computer and Systems Sciences,2,1
923,Infectious Diseases Service,2,1
924,Cathedra for Medical Informatics,2,1
925,University Hospital of North Norway,2,2
926,Politehnica University of Timișoara,2,1
927,Institute of General Practice,2,1
928,Swiss Federal Institute of Technology - ETH Zurich,2,1
929,Swinburne University of Technology,2,1
930,Center for Health Informatics and Technology,2,2
931,Public Health England,2,1
932,Computer Solutions SA,2,1
933,Centre Hospitalier de Troyes,2,1
934,Osnabrück University,2,3
935,Centre for Healthcare Modelling and Informatics,2,3
936,Centre for Informatics and Applied Optimisation,2,1
937,Santé Publique et Informatique Médicale (SPIM),2,1
938,City Graduate School,2,1
939,School of Applied Science,2,1
940,Institute of Communication and Computer Systems (ICCS),2,2
941,Centre for International Health,2,1
942,Section for Medical Informatics in Anaesthesiology,2,1
943,Institute of Artificial Intelligence and Informatics in Medicine,2,1
944,School of Science and Technology,2,1
945,Chiba University Hospital,2,2
946,School of Computing and Information Technology,2,1
947,Charles University Prague,2,1
948,School of Electrical & Computer Engineering,2,1
949,School of Engineering & ICT,2,1
950,Charité Universitätsmedizin Berlin,2,2
951,School of Population Health,2,4
952,Centre of Excellence for Biomedical Research (CEBR),2,1
953,Institute of Biomedicine of Seville,2,4
954,Centre of Medical Informatics,2,1
955,"Centre régional de pharmacovigilance HEGP, AP-HP",2,1
956,School of Health Policy & Management,2,1
957,Clinica de Familia,2,1
958,Selcuk University,2,1
959,Computer Networks and Communication Systems,2,1
960,IHMT,2,1
961,Siemens AG,2,2
962,Centre Régional de Pharmacovigilance,2,1
963,Computational Linguistics Lab,2,2
964,Comprehensive Heart Failure Center,2,1
965,Complexo Hospitalario Universitario de A Coruña (CHUAC),2,1
966,Institute of Computer and Network Engineering,2,1
967,Communications Planning Ltd,2,1
968,Centre de Recherche Public Henri Tudor,2,1
969,"Centre de Recherche des Cordeliers, Sorbonne Université, INSERM, Université de Paris",2,1
970,Service of Medical Informatics University Hospital of Geneva,2,1
971,College of Public Health and Health Informatics,2,2
972,College of Nursing & Systems Biomedical Informatics Research Center,2,1
973,Institute for Research on Population and Social Policies (IRPPS),2,1
974,"Institute of Computer Science, AS CR, v.v.i.",2,1
975,College of Information Science and Engineering,2,1
976,College of Informatics,2,1
977,INFM,2,2
978,Centre for Health Informatics Research and Development,2,2
979,"Salvatore Maugeri Foundation, IRCCS",2,3
980,Centre for Health Informatics and Multiprofessional Education,2,3
981,Salzburg Research Forschungsgesellschaft mbH,2,1
982,IBM Haifa Research Lab,2,1
983,Center for Applied Intelligent Systems Research,2,6
984,National Institute of Technology Tiruchirappalli,2,1
985,Facultad de Medicina,2,1
986,University College of Northern Denmark,2,2
987,University Children's Hospital,2,1
988,FH-Aachen,2,2
989,Institute for Community Medicine SHIP-KEF,2,1
990,National Cancer Center Hospital,2,1
991,National Institute for Health Innovation,2,1
992,Universidade de Aveiro,2,1
993,School of Information Systems,2,1
994,Universidad de Chile,2,1
995,Universidad Tecnológica Nacional,2,1
996,CERMES 3,2,1
997,Douglas College,2,4
998,National Intensive Care Evaluation (NICE) registry,2,1
999,CETIC.br; NIC.br,2,1
1000,Institute of Medical Biometry and Medical Informatics,2,1
1001,Ericsson Telecommunications Italy,2,1
1002,CHIRAD - Centre for Health Informatics Research and Development,2,1
1003,National Research Council of Italy (CNR),2,3
1004,Hôpital européen Georges Pompidou,2,1
1005,National Taichung University of Science and Technology,2,1
1006,Univ. of Genoa,2,1
1007,NORUT,2,1
1008,NHS Centre for Coding and Classification,2,1
1009,National Yang-Ming University,2,2
1010,NEXUS Personalized Health Technologies,2,1
1011,Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,2,1
1012,University Hospital of Grenoble,2,1
1013,University Hospital of Cranio Maxillofacial and Oral Surgery,2,1
1014,Blekinge Institute of Technology,2,1
1015,Hygeia General Hospital,2,1
1016,IRCCS AOU San Martino - IST,2,1
1017,University Hospital Lausanne,2,1
1018,Hôpital Avicenne (Assistance Publique - Hôpitaux de Paris),2,1
1019,Brandenburg Medical School Theodor Fontane,2,2
1020,Ministry of Health & Medical Education,2,2
1021,Institute for Biometry,2,1
1022,Institute of Molecular Systems Biology,2,1
1023,University Hospital Gent,2,1
1024,Mission Recherche en Sciences et Technologies de l'Information Médicale,2,1
1025,University Hospital Geneva,2,1
1026,Mondeca,2,1
1027,University Hospital Frankfurt,2,4
1028,Institute of Medical Microbiology,2,1
1029,Montpellier University Hospital,2,2
1030,N. N. Burdenko Neurosurgery Institute,2,1
1031,University Hospital Bern,2,1
1032,"Hôpitaux Universitaires Paris-Saclay, AP-HP",2,1
1033,Santa Anna IT Research Institute AB,2,1
1034,Ukrainian Institute of Children and Adolescents Health Protection,2,1
1035,Institute of Information and Communication Technologies,2,1
1036,Institute of Informatics and Telematics,2,1
1037,Tunstall Healthcare Group,2,1
1038,ESGCIP,2,1
1039,CIHR Child Health Clinician Scientist Training Program,2,1
1040,CHUV,2,1
1041,INSERM US24,2,1
1042,CINTESIS - Centre for Health Technology and Services Research,2,1
1043,INSERM UMR_S 872,2,2
1044,Norwegian Centre for Electronic Medical Records,2,1
1045,Dutch College of General Practitioners,2,1
1046,OFFIS e.V.,2,2
1047,Nottingham City Council,2,1
1048,"CISMeF & TIBS, LITIS EA4108, Rouen University Hospital",2,1
1049,EISTI,2,1
1050,Institute for Genomic Statistics and Bioinformatics,2,1
1051,Ecole de Santé Publique de l'Université Catholique de Louvain,2,1
1052,CHU University of Saint Etienne,2,1
1053,Nautavis GmbH,2,2
1054,Nelson Mullins Broad and Cassel,2,1
1055,"CNRS, INSERM",2,1
1056,The Dai-ichi Life Insurance Company,2,2
1057,CISB,2,1
1058,CHU Nice,2,1
1059,Institute for Infectious Diseases,2,1
1060,"UMR_S 1142, LIMICS",2,4
1061,CHU University Hospital of Saint Etienne,2,2
1062,OFFIS Institute for Information Technology,2,2
1063,Norwegian Research Centre for Electronic Patient Records,2,1
1064,"Institut für medizinische Informationsverarbeitung, Biometrie und Epidemiologie",1,1
1065,Institute of Cognitive Sciences and Technologies,1,1
1066,Institut of Medical Informatics,1,1
1067,Innovation Scientific Center of Remote Information Technologies,1,1
1068,Israeli Ministry of Health,1,1
1069,Instituto de Aplicaciones de las Tecnologías de la Información y de las Comunicaciones Avanzadas (ITACA),1,1
1070,Istituto Superiore di Sanita,1,1
1071,Institute of Industrial Science,1,1
1072,Instituto de Física Corpuscular (IFIC),1,1
1073,Innovation Center Computer Assisted Surgery,1,2
1074,Institute of Cognitive Science,1,2
1075,Institute of Clinical Medicine,1,1
1076,"Institute of Healthcare Engineering, Management and Architecture (HEMA)",1,1
1077,Institute of Physiology and Pathophysiology,1,1
1078,Istituto Superiore di Sanità,1,2
1079,"Institute for Medical Biometry, Informatics, and Epidemiology",1,2
1080,"Institute of Healthcare Engineering, Management and Architecture (HEMA Institute)",1,2
1081,Institute of Biostatistics und Documentation,1,2
1082,Informatics Laboratory,1,4
1083,Institute for Medical Biometry and Informatics,1,9
1084,Italian Society of Medical Education (SIPeM),1,1
1085,"Institute of Medical Informatics, Biostatistics and Epidemiology",1,1
1086,Institute for Health Economics and Policy,1,1
1087,Iran University of Medical Sciences,1,2
1088,"Institute for Medical Information Processing, Biometry, and Epidemiology",1,1
1089,Intermede,1,1
1090,Institute of Epidemiology and Social Medicine,1,1
1091,International Biometric Society - German Region (IBS-DR) and GMDS e.V.,1,1
1092,Interdisciplinary Bank of Biomaterials and Data Würzburg (ibdw),1,1
1093,Institute of Decision Science for Sustainable Society,1,1
1094,Institut für Germanistik,1,1
1095,Institute for Discrete Mathematics and Geometry,1,1
1096,Inria Inserm UMR_S1138,1,1
1097,Institute for Medical Research,1,1
1098,Institute of Medical Biometry and Statistics,1,1
1099,Institute of Formal Ontology and Medical Information Science,1,1
1100,Institute for Medical Statistics and Informatics,1,1
1101,Institut für Klinische Chemie und Pathobiochemie,1,1
1102,Institute for Ophthalmic Research,1,1
1103,"Inserm, CNRS",1,1
1104,Institute of Computer Vision and Applied Computer Sciences,1,1
1105,International Health Terminology Standardization Organization,1,1
1106,"Inserm, UVSQ, Institut Pasteur",1,1
1107,Institute for Formal Ontology and Medical Information Science,1,2
1108,"Inst. of Medical Informatics, Biometry and Epidemiology",1,1
1109,Institute for the Applications of Advanced Information and Communication Technologies (ITACA),1,1
1110,"Institute of Computer Science AS CR, v.v.i.",1,1
1111,Institut de recherche en santé publique de l'Université de Montréal,1,1
1112,Instituto de Investigación Sanitaria La Fe,1,2
1113,Institute of Epidemiology and Medical Statistics,1,1
1114,Institute of Communications and Computer Systems,1,1
1115,Inovigate,1,1
1116,"Institute of Medical Informatics, Statistics, and Documentation",1,1
1117,Institute for Media and Communications Management,1,2
1118,2nd Regional Health System Authority,1,1
1119,Italian WHO Collaborating Center for the Family of International Classifications,1,1
1120,Turku NLP Group,1,1
1121,Sopra Steria,1,1
1122,South Warwickshire NHS Foundation Trust,1,1
1123,Sowerby Centre for Health Informatics at Newcastle,1,1
1124,Spinal Cord Injury Center,1,2
1125,St. Anna Children's Hospital,1,2
1126,St. Franziskus-Hospital Münster,1,2
1127,Star Healthcare Management GmbH,1,1
1128,Start'up Zebrys,1,1
1129,State Research Center - Burnasyan Federal Medical Biophysical Center,1,1
1130,Stepping Hill Hospital,1,1
1131,Stonydelph Health Centre,1,2
1132,Students' Scientific Research Center (SSRC),1,1
1133,TIMC-IMAG Laboratory,1,1
1134,Technical University of Cluj-Napoca,1,2
1135,TelePat LLC,1,1
1136,Telemedicine and eHealth Research Group,1,1
1137,Thanjavur Medical College,1,1
1138,The Arctic University of Norway,1,2
1139,The Capital Region of Denmark,1,1
1140,The Clatterbridge Cancer Centre NHS Foundation Trust,1,1
1141,"The Clatterbridge Cancer Centre, NHS Foundation Trust",1,1
1142,The College of Management,1,1
1143,The Norwegian EHR Research Centre (NSEP),1,1
1144,The University of Electro-Communications,1,1
1145,Tohoku University,1,4
1146,Tokushima University,1,1
1147,Tongji University,1,1
1148,"TriNetX, LLC",1,1
1149,Trip Database Ltd.,1,1
1150,Société de Formation Thérapeutique du Généraliste,1,1
1151,Siemens Nixdorf Informasjonssystemer,1,1
1152,Siemens Healthcare,1,1
1153,School of Pharmacy,1,1
1154,San Cecilio Hospital,1,2
1155,School of Biochemical Engineering,1,1
1156,School of Biomedical Engineering,1,4
1157,"School of Business, Economics and Social Sciences",1,1
1158,School of Computer Science and Statistics,1,1
1159,School of Computer Sciences,1,1
1160,School of Electrical Engineering and Computer Science,1,1
1161,"School of Gender, Sexuality and Women's Studies",1,1
1162,School of Health & Community Studies,1,1
1163,School of Humanities and Informatics,1,3
1164,School of Information Technology,1,2
1165,School of Information and Communication Technology,1,2
1166,School of Nursing & LCCC,1,1
1167,School of Psychology,1,2
1168,Siemens AG Medical Engineering,1,1
1169,School of Public Health and Health Systems,1,1
1170,School of Public Policy and Professional Practice,1,2
1171,Scientific Clinical Institutes ICS Maugeri SPA SB,1,2
1172,Semantic Identity,1,1
1173,Semantic Technology Institute,1,1
1174,Seniornett Norge,1,1
1175,Seoul National University Bundang Hospital,1,3
1176,"Service de Biostatistique et d'Informatique Médicale, Hôpital Necker",1,1
1177,Service de Pharmacologie Clinique/EA643,1,1
1178,Service of Medical Informatics,1,2
1179,Servizo Galego de Saúde,1,1
1180,Shadan Institute of Medical Sciences,1,1
1181,Shahid Beheshti University of Medical Sciences,1,1
1182,Trusted Third Party,1,1
1183,UCL School of Pharmacy,1,1
1184,Sama Technical and Vocational Training College,1,1
1185,UKSH,1,2
1186,Université Pierre et Marie Curie,1,1
1187,Université de Paris Cité,1,1
1188,Université du Québec à Chicoutimi,1,1
1189,VITAM Centre de recherche en santé durable,1,1
1190,VeraTech for Health,1,1
1191,Vidavo S.A.,1,1
1192,Vienna University of Technology,1,1
1193,Virtual Center of Health Informatics,1,1
1194,Virtual Centre for Health Informatics (V-CHI),1,1
1195,Virtual Centre of Health Informatics,1,2
1196,Virtual-Centre for Health Informatics,1,1
1197,"Vivantes Clinic for Psychiatry, Psychotherapy and Psychosomatics Am Urban",1,1
1198,Vizija d.o.o.,1,3
1199,Vrije Universiteit,1,1
1200,Vrije Universiteit Brussel,1,4
1201,Wales Institute for Digital Information,1,2
1202,Women's College Hospital,1,1
1203,Working Group Medical Informatics Education in Medicine,1,1
1204,Working Group Nursing Informatics,1,1
1205,Working Group Teaching in Epidemiology of the GMDS e.V.,1,1
1206,Zentralinstitut für die kassenärztliche Versorgung in der Bundesrepublik Deutschland,1,1
1207,Zentralinstitut für die kassenärztliche Versorgung in der Bundesrepublik Deutschland (ZI),1,1
1208,celisca - Center for Life Science Automation Rostock,1,1
1209,eHealth Institute,1,2
1210,empirica Gesellschaft für Kommunikations Technologieforschung mbH,1,1
1211,enGenome S.r.l,1,1
1212,myTomorrows,1,1
1213,openEHR Foundation,1,1
1214,École de design,1,1
1215,Université Nice-Sophia Antipolis,1,1
1216,Université Jean Monnet,1,1
1217,Universitätsklinikum RWTH,1,1
1218,University Hospital of Geneva,1,12
1219,UMR 8163 STL CNRS,1,1
1220,UPRES EA2415,1,1
1221,UPRES EA3888 Conceptual Modeling of Biomedical Knowledge,1,1
1222,Uniklinik RWTH Aachen,1,1
1223,Univ. Sorbonne Paris Nord,1,1
1224,Universitat Jaume I,1,1
1225,University Cancer Center,1,1
1226,University Eye-Hospital,1,1
1227,University Hospital Giessen,1,1
1228,University Hospital Marburg,1,1
1229,University Hospital OWL,1,2
1230,University Hospital Tübingen,1,4
1231,University Hospital of Essen,1,2
1232,University Hospital of Lille,1,1
1233,University of Toronto,1,1
1234,University Hospital of Würzburg,1,1
1235,"University Hospital, INSERM CIC-IT807, UDSL",1,1
1236,University Medical Center of the Johannes-Gutenberg-University,1,1
1237,University Medicine Göttingen,1,1
1238,University for Health Informatics and Technology Tyrol,1,1
1239,University for Health Sciences,1,1
1240,University of Bristol,1,1
1241,University of British Columbia Okanagan,1,1
1242,"University of California, San Francisco",1,1
1243,University of Debrecen Health College,1,1
1244,University of Leipzig,1,1
1245,"University of Medicine and Pharmacy ""Victor Babes""",1,1
1246,University of Thessaly,1,2
1247,SamsungSDS,1,1
1248,STL UMR8163 CNRS,1,2
1249,JOANNEUM Research Forschungsgesellschaft mbH,1,1
1250,Medlinx,1,1
1251,Laboratory of Medical Physics,1,1
1252,Lancaster University,1,2
1253,Language and Computing nv.,1,2
1254,Leeds Teaching Hospitals NHS Trust,1,1
1255,Leiden University Medical Centre,1,2
1256,LfM Institute for Measurement Techniques and Image Processing,1,1
1257,Library,1,1
1258,Lille Catholic Hospitals,1,1
1259,Lindholmen Science Park AB,1,1
1260,Lipetsk Oncological Hospital,1,1
1261,Local Health Authority of Genoa (ASL3),1,1
1262,Lombardia Informatica,1,1
1263,MKS Inc.,1,1
1264,MOH Holdings Pte Ltd,1,1
1265,MOLIT Institute gGmbH,1,2
1266,MPI for Demographic Research,1,1
1267,Max Planck Institute for Demographic Research,1,1
1268,McGill Clinical and Health Informatics,1,1
1269,Medfloss.org,1,1
1270,Medical College of Wisconsin,1,1
1271,Medical Computing Center,1,1
1272,Medical Data Integration Center,1,1
1273,Medical IT Center,1,3
1274,Medical Informatics Group (MIG),1,1
1275,Medical Informatics Research Centre,1,1
1276,Medical Technical Research Centre,1,1
1277,Medical University of Lübeck,1,1
1278,Medical University of Warsaw,1,1
1279,Medical center,1,1
1280,Laboratoire d'Informatique Medicale,1,1
1281,Laboratoire SPIEAO,1,1
1282,Laboratoire IDM,1,3
1283,Klaus Heimann Eye Research Institute,1,1
1284,Jagiellonian University,1,1
1285,Janssen BeNeLux,1,1
1286,Janssen R&D/Clinical Innovation,1,1
1287,Jena University,1,1
1288,Joint Centre Bergisch Land,1,1
1289,Joint Expertise Center for Teaching (SMITH-JET),1,1
1290,Junexus Consulting,1,1
1291,K. Tschira Institute for Integrative Computational Cardiology,1,1
1292,KU,1,1
1293,Karolinska University Hospital,1,2
1294,Katholieke Universiteit Leuven,1,1
1295,Keldysh Institute of Applied Mathematics,1,1
1296,King Saud University,1,1
1297,Knappschaftsklinikum Saar,1,1
1298,Lab of Medical Physics and Digital Innovation,1,3
1299,Kommunernes Landsforening,1,1
1300,Kronikgune,1,1
1301,Kronikgune Institute for Health Services Research,1,1
1302,Kuwait University,1,1
1303,Kyushu University,1,1
1304,Köln University Hospital,1,2
1305,L3S Research Center,1,1
1306,LAGIS,1,2
1307,LIBERTAMED GmbH,1,1
1308,LIMICS U1142 INSERM,1,1
1309,LIMSI - CNRS,1,1
1310,LITIS EA4108,1,1
1311,LWL-Hospital and University Hospital Münster,1,1
1312,Medixine,1,1
1313,Michael Smith Foundation for Health Research,1,1
1314,SRT GmbH,1,1
1315,Mimar Sinan Fine Arts University,1,1
1316,Pediatric Research Laboratory,1,1
1317,Pfizer Investment Co. Ltd.,1,4
1318,Philips Healthcare,1,1
1319,Philips Research Laboratories,1,1
1320,Politecnico di Torino,1,5
1321,Politehnica University Timisoara,1,1
1322,Politehnica University Timişoara,1,1
1323,Port Loko DHMT,1,1
1324,Preemptive Medicine & Lifestyle-Related Disease Research Center,1,1
1325,Public Hospitals of Styria,1,1
1326,"Pôle de Santé Publique, CHRU Lille",1,1
1327,Regional Medical Center Dr Safet Mujic,1,1
1328,Rescon Ltd.,1,1
1329,"Research Center Borstel, Leibniz Lung Center",1,1
1330,RoMed Klinikum Rosenheim,1,1
1331,Roshtov Software Ind. Ltd.,1,1
1332,Royal Brompton Hospital NHS Trust,1,1
1333,Royal Hobart Hospital,1,2
1334,Rudolf-Sophien-Stift,1,1
1335,"S. Maugeri Foundation, IRCCS",1,3
1336,SABIEN-ITACA,1,3
1337,SAIHST,1,2
1338,SINTEF Digital,1,2
1339,SINTEF Information and Communication Technology,1,1
1340,SLK Kliniken GmbH,1,1
1341,SOCRATES Network,1,1
1342,SPRI,1,1
1343,SRDC,1,1
1344,SRDC Software Research Development and Consultancy Corp,1,1
1345,PMV forschungsgruppe,1,1
1346,PLRI Institute of Medical Informatics,1,1
1347,Otto-von-Guericke University Magdeburg,1,1
1348,National Supplementary Health Agency (NSHA),1,1
1349,Ministry of Greek National Defence,1,1
1350,Ministry of National Education,1,1
1351,Mobile Doctor Co. Ltd,1,2
1352,Montpellier Management Research Center,1,1
1353,Munich Cancer Registry,1,1
1354,N.V.Sklifosovskiy Scientific Research Institute of Emergency Care,1,1
1355,NFDI4Health Task Force COVID-19,1,1
1356,NHS England,1,1
1357,NSHA Behavior Change Institute,1,1
1358,NU Hospital Group,1,2
1359,Nara Medical University Hospital,1,3
1360,National Institute of Technology,1,1
1361,National Research Center for Hematology,1,1
1362,National Taiwan University,1,1
1363,Oslo University Hospital,1,1
1364,National and Kapodistrian University of Athens,1,1
1365,Naval Hospital,1,1
1366,Network Management & Optimal Design Laboratory (NETMODE),1,1
1367,Niels Stensen Hospitals,1,1
1368,Norwegian Centre for eHealth Research,1,1
1369,Norwegian EHR Research Centre (NSEP),1,1
1370,Nursing Faculty,1,1
1371,Oak Ridge National Laboratory (ORNL) Center for Biomedical Informatics,1,1
1372,Office Line Engineering NV,1,1
1373,Officine Ortopediche Tombolini,1,2
1374,Open Mapping Software Ltd,1,1
1375,OpenEHR International,1,2
1376,Osakidetza,1,1
1377,Informatics Institute,1,6
1378,"Institute of Medical Statistics, Informatics and Epidemiology",1,2
1379,Fraunhofer Institute for Algorithms and Scientific Computing SCAI,1,1
1380,Grenoble Institut des Neurosciences,1,1
1381,European Institute of Electronic Health Record,1,1
1382,Groupe Santé Concerto,1,1
1383,Faculté de médecine,1,1
